Participant,List,Trial,Condition,Event Category,Event Type,Layer,Hotspot,Trial Start,Elapsed,X,Y,image-left,image-right,audio
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,504.2999999714084,514,425,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,520.3999999794178,514,426,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,layer,playbackstart,audio,,1543599689367,1005.7999999844469,,,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2648.0999999912456,557,419,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2656.1999999685213,572,418,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2664.199999999255,588,416,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2688.2999999797903,626,414,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2704.29999998305,653,412,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2720.3999999910593,675,411,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2736.1999999848194,694,409,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2752.3999999975786,705,408,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2768.2999999960884,716,408,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2784.299999999348,723,407,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2800.4000000073574,727,407,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2816.3000000058673,729,407,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2840.3999999864027,731,407,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2856.2999999849126,732,407,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2872.399999992922,733,407,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2952.3000000044703,729,407,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2960.2999999769963,713,407,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2968.2000000029802,689,406,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,2984.3000000109896,613,399,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,3000.3000000142492,538,391,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,3016.200000012759,452,381,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,3040.1999999885447,379,371,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,3056.299999996554,356,366,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,3072.4000000045635,330,357,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,3232.2999999742024,329,357,fr_wateringcan.png,d51.png,f_wateringcan_.wav
16,4_4,wateringcan,4_4FillerL,mouse,move,canvas,,1543599689367,3240.4000000096858,321,357,fr_wateringcan.png,d51.png,f_wateringcan_.wav
